first,second,third,freq
knew,professor,mcgonagall,73
professor,dumbledore,stated,73
professor,sprout,would,72
professor,mcgonagall,transfiguration,72
professor,dumbledore,one,72
professor,mcgonagall,hand,72
could,ask,professor,72
even,though,professor,72
professor,flitwick,looked,72
much,like,professor,72
letter,professor,mcgonagall,72
professor,dumbledore,think,72
professor,snape,classroom,72
professor,snape,tell,72
professor,lockhart,said,72
0,0,0,72
minutes,later,professor,71
professor,snape,teaching,71
noticed,professor,mcgonagall,71
squeaked,professor,flitwick,71
professor,snape,something,71
professor,dumbledore,sat,71
professor,snape,stopped,71
professor,mcgonagall,even,71
met,professor,mcgonagall,71
next,professor,mcgonagall,71
professor,snape,please,71
professor,lupin,came,71
professor,snape,want,70
would,like,see,70
could,say,anything,70
professor,dumbledore,already,70
noticed,professor,snape,70
left,professor,mcgonagall,70
back,professor,dumbledore,70
professor,mcgonagall,headmaster,70
professor,dumbledore,continued,70
conversation,professor,mcgonagall,70
professor,mcgonagall,wants,70
granger,professor,snape,70
professor,mcgonagall,also,70
professor,mcgonagall,shook,70
professor,lupin,professor,70
professor,snape,see,70
professor,flitwick,gave,70
said,professor,longbottom,70
found,professor,mcgonagall,69
night,professor,snape,69
professor,dumbledore,looking,69
professor,said,quietly,69
herbology,professor,sprout,69
professor,snape,wants,69
give,professor,snape,69
professor,snape,appeared,69
mcgonagall,told,us,69
professor,slughorn,asked,69
five,points,gryffindor,69
professor,mcgonagall,snapped,69
professor,potter,chapter,69
trust,professor,snape,68
evening,professor,snape,68
voice,professor,snape,68
professor,mcgonagall,interrupted,68
know,professor,lupin,68
professor,dumbledore,right,68
little,professor,flitwick,68
professor,dumbledore,going,68
professor,snape,continued,68
professor,snape,give,68
granger,professor,mcgonagall,68
right,professor,mcgonagall,68
behind,professor,mcgonagall,68
professor,snape,sent,68
professor,dumbledore,informed,68
letter,professor,dumbledore,68
professor,lupin,gave,67
professor,dumbledore,still,67
watched,professor,mcgonagall,67
morning,professor,mcgonagall,67
entered,great,hall,67
sprout,professor,flitwick,67
professor,flitwick,could,67
position,defense,dark,67
professor,mcgonagall,desk,67
karkaroff,madame,maxime,67
oh,sorry,professor,67
professor,snape,need,67
professor,mcgonagall,knew,67
see,professor,flitwick,66
something,professor,mcgonagall,66
dumbledore,headmaster,hogwarts,66
professor,dumbledore,let,66
harry,saw,professor,66
meeting,professor,dumbledore,66
thank,professor,hermione,66
let,professor,snape,66
door,professor,mcgonagall,66
professor,slughorn,told,65
something,wrong,professor,65
front,professor,snape,65
said,professor,slughorn,65
professor,snape,arrived,65
yes,professor,hermione,65
RRB,professor,mcgonagall,65
professor,dumbledore,thought,65
common,room,professor,65
room,professor,snape,65
hello,professor,mcgonagall,65
professor,weasley,said,65
professor,dumbledore,began,65
professor,umbridge,said,65
door,professor,snape,64
professor,dumbledore,want,64
professor,snape,make,64
mcgonagall,shook,head,64
professor,karkaroff,madame,64
back,gryffindor,tower,64
ron,professor,mcgonagall,64
professor,snape,thought,64
professor,mcgonagall,agreed,64
happened,professor,snape,64
kill,professor,dumbledore,64
professor,lupin,tonks,64
would,like,introduce,64
professor,mcgonagall,frowned,63
professor,potter,said,63
professor,lupin,sirius,63
right,said,professor,63
headmaster,dumbledore,professor,63
professor,mcgonagall,tried,63
professor,dumbledore,seemed,63
professor,snape,take,63
thought,professor,mcgonagall,63
professor,snape,snapped,63
going,professor,snape,63
professor,snape,private,63
came,professor,mcgonagall,63
see,professor,slughorn,63
looked,saw,professor,63
professor,mcgonagall,taken,63
professor,snape,get,63
snape,professor,dumbledore,63
professor,snape,quarters,63
harry,asked,professor,62
night,professor,dumbledore,62
professor,mcgonagall,back,62
