first,second,third,freq
taught,tom,riddle,3
fall,professor,dumbledore,3
harry,room,harry,3
towards,back,room,3
back,good,graces,3
chapter,twenty,seven,3
harry,visit,professor,3
flitwick,told,first,3
hoping,catch,professor,3
aberforth,professor,dumbledore,3
passed,e,w,3
hermione,tried,best,3
much,loved,professor,3
lupin,could,tell,3
great,hall,potions,3
asked,harry,ron,3
room,minutes,later,3
professor,leaned,wall,3
RRB,professor,severus,3
see,dark,lord,3
nothing,professor,sirius,3
replied,forced,smile,3
professor,wondering,whether,3
thank,professor,three,3
flitwick,walked,classroom,3
professor,weasley,offered,3
well,defense,dark,3
merrythought,went,front,3
yes,professor,walked,3
got,defense,dark,3
looks,bit,like,3
harry,breath,caught,3
offer,professor,snape,3
classroom,monday,morning,3
hermione,could,finish,3
tightened,arms,around,3
would,trouble,professor,3
think,alright,professor,3
harry,last,year,3
flamel,philosopher,stone,3
blurted,professor,snape,3
blood,potion,professor,3
professor,hogwarts,RRB,3
troll,dungeon,thought,3
professor,vector,writing,3
professor,snape,noted,3
fellow,death,eaters,3
recognize,professor,lupin,3
like,severus,snape,3
professor,flitwick,retiring,3
look,professor,hermione,3
hermione,harry,walked,3
harry,noticed,one,3
going,walk,professor,3
looks,professor,dumbledore,3
fact,defense,dark,3
arts,professor,dark,3
hermione,stepped,back,3
auror,LRB,formerly,3
lucius,malfoy,LRB,3
black,LRB,paternal,3
potter,LRB,maternal,3
née,black,LRB,3
LRB,second,cousin,3
teddy,remus,lupin,3
alice,longbottom,LRB,3
professor,ca,wait,3
right,professor,go,3
one,time,snape,3
sorting,hat,finished,3
begin,feast,would,3
feast,would,like,3
harry,heard,several,3
new,professor,name,3
professor,dumbledore,favorite,3
looked,professor,minerva,3
night,harry,ron,3
sure,really,wanted,3
since,longer,professor,3
harry,thinking,professor,3
thinking,professor,said,3
would,show,us,3
harry,still,sure,3
today,professor,carrow,3
members,gryffindor,quidditch,3
morning,professor,students,3
xx,x,xx,3
turned,old,professor,3
professor,thank,letting,3
evil,potions,master,3
potions,master,knew,3
help,something,professor,3
professor,began,taking,3
night,christmas,eve,3
guess,professor,said,3
favorite,professor,said,3
told,old,man,3
order,phoenix,chapter,3
professor,mcgonagall,urgent,3
looking,extremely,angry,3
felt,ever,since,3
professor,vector,hagrid,3
professor,sinistra,usually,3
hooch,professor,trelawney,3
assign,detention,professor,3
quick,thinking,professor,3
thinking,professor,flitwick,3
flitwick,cast,charm,3
professors,slughorn,flitwick,3
time,professor,asked,3
mcgonagall,said,politely,3
may,ask,please,3
snape,would,ask,3
say,matter,professor,3
professor,umbridge,severus,3
true,shouted,professor,3
professor,umbridge,correct,3
professor,sat,corner,3
get,slytherin,common,3
word,came,professor,3
death,eaters,right,3
professor,sprout,example,3
run,find,professor,3
would,like,try,3
attention,former,professor,3
voldemort,coming,back,3
mr,potter,look,3
professor,following,year,3
first,years,ready,3
hour,class,professor,3
professor,hooch,would,3
told,mr,potter,3
heard,professor,said,3
across,professor,quirrell,3
class,harry,could,3
hogwarts,first,years,3
flying,lessons,professor,3
stared,professor,horror,3
harry,potter,arms,3
head,house,snape,3
snape,got,away,3
witch,health,professor,3
older,students,professor,3
snape,hates,harry,3
form,professor,quirrell,3
said,need,help,3
help,professor,burbage,3
professor,geneva,pax,3
sorry,mr,potter,3
swear,professor,mcgonagall,3
almost,skipped,room,3
lupin,cast,patronus,3
blinked,looking,professor,3
may,attention,please,3
harry,hissed,professor,3
agree,professor,said,3
rest,assured,mr,3
potions,class,today,3
harry,reached,professor,3
saw,harry,potter,3
caught,harry,attention,3
potions,assistant,professor,3
handed,madam,bones,3
came,stand,next,3
madame,pomfrey,around,3
resemblance,professor,snape,3
especially,gryffindor,table,3
raised,eye,brow,3
professor,quirrell,want,3
stood,behind,harry,3
punished,professor,mcgonagall,3
harry,suggest,go,3
looked,directly,harry,3
great,defense,dark,3
said,asked,professor,3
professor,mcgonagall,early,3
professor,also,head,3
professor,come,hogwarts,3
professor,mcgonagall,gryffindors,3
stone,last,year,3
year,told,us,3
let,someone,else,3
professor,quirrell,used,3
magical,creatures,arithmancy,3
professor,dumbledore,thrown,3
new,professor,think,3
professor,position,severus,3
mr,weasley,though,3
professor,dumbledore,manage,3
mcgonagall,permission,use,3
lupin,looked,back,3
professor,witch,said,3
nothing,bad,happened,3
office,harry,found,3
could,probably,teach,3
yet,another,defense,3
broken,professor,dumbledore,3
professor,dumbledore,definitely,3
mcgonagall,feel,like,3
mc,professor,mcgonagall,3
sorry,professor,miss,3
talk,professor,moody,3
said,could,teach,3
professor,moody,tonks,3
wants,see,hermione,3
long,chat,professor,3
signal,professor,mcgonagall,3
reveal,professor,flitwick,3
pranks,professor,umbridge,3
professor,umbridge,time,3
dumbledore,professor,umbridge,3
mr,zabini,miss,3
grinned,saw,professor,3
mcgonagall,asked,help,3
ron,hermione,sirius,3
actually,wanted,ask,3
seeing,look,professor,3
mcgonagall,face,knew,3
cure,professor,dumbledore,3
newly,minted,professor,3
additionally,professor,mcgonagall,3
making,much,noise,3
thanks,warning,professor,3
young,man,harry,3
yeah,maybe,professor,3
professor,mcgonagall,lip,3
dumbledore,said,carefully,3
professor,dumbledore,determined,3
arts,professor,sirius,3
house,asked,professor,3
could,help,get,3
way,back,desk,3
dumbledore,said,first,3
read,daily,prophet,3
possessing,professor,quirrel,3
four,years,professor,3
common,room,luna,3
mcgonagall,stood,desk,3
stood,desk,looking,3
desk,looking,around,3
thing,would,expect,3
mcgonagall,blinked,rapidly,3
need,word,professor,3
turned,gaze,dumbledore,3
must,inform,professor,3
professor,snape,thankfully,3
succeed,professor,dumbledore,3
professor,last,thing,3
students,complaining,professor,3
complaining,professor,snape,3
tiny,professor,explained,3
front,see,professor,3
agreed,let,take,3
loved,professor,dumbledore,3
blue,eyed,professor,3
know,really,like,3
mcgonagall,striding,toward,3
harry,fault,professor,3
hermione,since,professor,3
professor,babbling,says,3
returned,front,classroom,3
girl,looked,like,3
venomous,tentacula,plant,3
nodded,professor,longbottom,3
hear,rest,professor,3
professor,slughorn,use,3
professor,james,started,3
professor,oh,yes,3
professor,dumbledore,support,3
professor,mcgonagall,forbade,3
run,away,professor,3
especially,since,harry,3
chapter,four,professor,3
chapter,twenty,two,3
professor,would,become,3
walked,high,table,3
professor,westerling,said,3
professor,westley,westerling,3
hat,upon,stool,3
head,house,six,3
house,six,years,3
professor,westerling,death,3
opposite,professor,longbottom,3
professor,desulgon,told,3
two,weeks,start,3
conversation,professor,desulgon,3
wants,like,professor,3
really,go,professor,3
last,year,every,3
taken,points,gryffindor,3
professor,desulgon,knew,3
next,day,albus,3
professor,longbottom,suddenly,3
professor,ca,really,3
albus,ever,seen,3
would,know,something,3
professor,binns,lectured,3
katarina,pinzel,school,3
glancing,back,professor,3
professor,longbottom,chuckled,3
whatever,spell,cast,3
transfiguration,professor,moment,3
okay,said,professor,3
sent,professor,longbottom,3
actually,said,professor,3
works,professor,dumbledore,3
professor,dumbledore,allows,3
hear,professor,longbottom,3
truth,said,professor,3
begin,professor,snape,3
snape,walked,onto,3
left,first,years,3
placing,four,legged,3
professor,snape,staff,3
table,could,see,3
jacket,potato,professor,3
got,something,professor,3
professor,quirrell,troll,3
professor,quirrell,everyone,3
remus,lupin,teaching,3
slytherins,professor,lupin,3
snape,followed,professor,3
mcgonagall,voice,could,3
killed,parents,professor,3
got,gryffindor,common,3
forest,green,robes,3
professor,could,put,3
professor,moody,think,3
certain,things,professor,3
horace,slughorn,teaching,3
professor,got,another,3
alive,professor,harry,3
cross,station,professor,3
stole,glance,professor,3
article,professor,snape,3
professor,mcgongall,snape,3
professors,sprout,slughorn,3
sprout,new,deputy,3
treacle,tart,professor,3
approached,staff,table,3
harry,stopped,front,3
classes,defence,dark,3
slowly,worked,way,3
dinner,talk,professor,3
years,defence,professor,3
already,cleared,professor,3
professor,snape,fourth,3
professor,dumbledore,intervened,3
professor,mcgonagall,granted,3
harry,said,stepped,3
class,paid,attention,3
mcgonagall,leave,school,3
mcgonagall,said,come,3
professor,mcgonagall,giggled,3
clapped,hands,food,3
hermione,meeting,professor,3
dumbledore,first,time,3
hermione,could,answer,3
professor,changed,mind,3
like,hermione,professor,3
stepped,fireplace,professor,3
second,year,harry,3
place,severus,snape,3
snape,would,surely,3
granger,please,go,3
dumbledore,called,meeting,3
professor,lockhart,st,3
lockhart,st,mungo,3
slept,professor,binns,3
professor,mcgonagall,signalled,3
came,closer,closer,3
clapped,hands,twice,3
great,hall,suddenly,3
would,take,role,3
professor,weasley,please,3
seem,paying,attention,3
professor,asked,sir,3
snape,work,together,3
anymore,miss,granger,3
professor,used,teach,3
ginny,turned,look,3
next,school,term,3
professor,please,make,3
harry,leave,professor,3
head,house,tell,3
mrs,tonks,said,3
professor,flitwick,fine,3
looked,like,potter,3
want,go,get,3
harry,said,soon,3
sir,harry,potter,3
neville,watched,professor,3
evening,professor,weasley,3
said,harry,got,3
snape,last,week,3
started,calling,professor,3
professor,sprout,burst,3
malfoy,ms,granger,3
professor,malfoy,spoke,3
thought,saw,hint,3
anything,even,though,3
attention,potions,master,3
harry,said,careful,3
later,outside,professor,3
golpalott,third,law,3
throughout,time,hogwarts,3
picture,professor,flitwick,3
harry,want,think,3
claw,footed,desk,3
professor,babbling,seemed,3
along,mr,weasley,3
tonks,remus,sirius,3
way,headmaster,professor,3
heard,name,called,3
trelawney,years,ago,3
turned,greet,professor,3
professor,three,broomsticks,3
husband,professor,snape,3
LRB,minus,professor,3
severus,snape,resident,3
alone,professor,slughorn,3
gave,private,lessons,3
professor,dumbledore,searching,3
go,st,mungo,3
madam,pomfrey,raised,3
everyone,attention,back,3
professor,mcgonagall,clapping,3
mcgonagall,right,harry,3
sure,one,listening,3
mcgonagall,walked,first,3
hardest,thing,ever,3
dumbledore,kept,saying,3
told,go,back,3
professor,mcgonagall,pocket,3
put,one,hand,3
push,luck,professor,3
professor,snape,allows,3
draco,met,professor,3
idea,professor,talking,3
saw,death,eaters,3
snape,would,fight,3
death,eaters,azkaban,3
remus,lupin,history,3
would,taken,care,3
dolores,umbridge,defense,3
practicing,defensive,spells,3
madigan,flitwick,professor,3
aware,professor,umbridge,3
year,gryffindor,slytherin,3
strode,around,room,3
man,like,professor,3
little,laugh,hiccup,3
laugh,hiccup,barely,3
hiccup,barely,hidden,3
snape,could,really,3
time,death,eater,3
professor,lockhart,done,3
last,visit,professor,3
way,back,office,3
professor,snape,harder,3
helping,professor,lockhart,3
answer,fan,mail,3
oh,professor,ca,3
snape,let,slip,3
justin,hospital,wing,3
willing,help,harry,3
tentatively,asked,professor,3
professor,flitwick,headed,3
flitwick,stood,desk,3
dead,tracks,saw,3
madam,pomfrey,hurried,3
sent,way,professor,3
harry,go,alone,3
cutting,bit,close,3
looks,professor,mcgonagall,3
proceed,professor,mcgonagall,3
furiously,professor,mcgonagall,3
another,person,professor,3
got,feet,said,3
professor,snape,wounds,3
professor,mcgonagall,shuffled,3
also,learned,professor,3
eyes,darting,professor,3
ask,one,last,3
knew,dark,lord,3
hit,cruciatus,curse,3
sentence,professor,snape,3
since,madam,pomfrey,3
chapter,professor,mcgonagall,3
ronald,weasley,hermione,3
linked,professor,snape,3
could,quite,possibly,3
mcgonagall,inclined,head,3
harry,sighed,turned,3
mcgonagall,moved,forward,3
professor,mcgonagall,boomed,3
refused,meet,eyes,3
make,sure,nobody,3
one,us,professor,3
side,along,apparate,3
apparate,professor,snape,3
professor,snape,wounded,3
hp,professor,snape,3
said,nice,see,3
malfoy,narcissa,malfoy,3
albus,dumbledore,died,3
though,first,time,3
professor,old,one,3
way,seventh,floor,3
professor,much,could,3
normally,unflappable,professor,3
also,defence,dark,3
could,possibly,get,3
professor,even,worse,3
offered,hand,snape,3
snape,professor,would,3
harry,noticed,even,3
professor,dumbledore,guard,3
professor,could,dead,3
time,last,time,3
harry,said,something,3
red,headed,girl,3
mcgonagall,seemed,noticed,3
going,yule,ball,3
mcgonagall,hagrid,neville,3
repeat,professor,mcgonagall,3
slughorn,said,would,3
ron,hermione,followed,3
thoughts,potions,professor,3
prim,professor,mcgonagall,3
professor,let,long,3
anyone,especially,professor,3
train,thought,broken,3
head,table,seated,3
frame,professor,snape,3
promised,help,professor,3
hermione,granger,also,3
better,let,go,3
professor,dumbledore,statement,3
great,doors,opened,3
harry,ron,sure,3
staying,castle,holidays,3
enough,even,though,3
head,think,professor,3
asked,professor,going,3
grumpy,old,potions,3
want,stay,professor,3
harry,said,honestly,3
anyone,else,see,3
mcgonagall,taken,place,3
would,appreciated,professor,3
harry,mr,weasley,3
would,send,professor,3
approximately,half,hour,3
one,good,reason,3
granger,snape,said,3
standing,side,room,3
next,former,professor,3
professor,mouth,hanging,3
said,pointing,professor,3
wish,come,true,3
shocked,look,professor,3
fighting,death,eater,3
master,like,professor,3
know,want,help,3
first,time,came,3
morning,first,year,3
students,watched,professor,3
would,want,listen,3
next,seven,years,3
professor,mcgonagall,wrist,3
looking,professor,looked,3
another,flick,wand,3
said,giving,harry,3
class,taking,roll,3
look,professor,spoke,3
opposite,professor,flitwick,3
dock,points,houses,3
mentioned,professor,sprout,3
visit,diagon,alley,3
told,come,office,3
dada,professor,watching,3
seeing,us,professor,3
harry,greeted,professor,3
greeted,professor,snape,3
taking,sheet,parchment,3
ca,remember,professor,3
gryffindor,house,table,3
expected,nothing,less,3
mcgonagall,stood,harry,3
neville,said,standing,3
remember,defense,professor,3
professor,harry,life,3
told,us,ministry,3
back,course,professor,3
dark,potions,master,3
great,hall,hoping,3
door,stepped,inside,3
professor,umbridge,informed,3
professor,next,time,3
tell,two,best,3
wondering,many,times,3
exactly,mean,professor,3
marched,professor,mcgonagall,3
mcgonagall,brusquely,snapping,3
brusquely,snapping,bag,3
snapping,bag,shut,3
hardly,wait,said,3
mcgonagall,coldly,indifferent,3
coldly,indifferent,voice,3
indifferent,voice,strode,3
quite,period,said,3
period,said,professor,3
professor,trelawney,drew,3
professor,umbridge,eyebrows,3
lips,thin,line,3
said,one,last,3
wait,turn,potter,3
knowing,else,say,3
ron,hermione,came,3
eyes,landed,professor,3
professor,would,better,3
another,day,professor,3
professor,mcgonagall,initially,3
professor,smiled,nodded,3
could,help,little,3
said,realized,professor,3
hat,finished,singing,3
um,professor,said,3
professor,navarra,office,3
mr,potter,need,3
office,without,even,3
high,cold,voice,3
answers,professor,mcgonagall,3
wished,first,time,3
professor,snape,treats,3
professor,said,boy,3
large,double,doors,3
great,hall,meet,3
hall,meet,professor,3
much,younger,man,3
leaning,professor,desk,3
glance,professor,table,3
attention,professor,saying,3
gave,curious,look,3
make,voice,sound,3
wanted,go,see,3
third,year,arithmancy,3
asked,opened,door,3
slughorn,would,like,3
charms,lunch,professor,3
stood,either,side,3
harry,said,serious,3
said,serious,professor,3
professor,would,love,3
professor,wanted,speak,3
harry,started,cut,3
professor,anything,wrong,3
oh,well,thank,3
yes,professor,alright,3
ok,thank,professor,3
took,post,defence,3
year,pleased,welcome,3
assist,professor,lupin,3
whilst,professor,lupin,3
ask,keep,eye,3
well,come,professor,3
belonging,professor,snape,3
ago,transfiguration,professor,3
potions,professor,give,3
professor,vector,merely,3
arrived,potions,classroom,3
professor,slughorn,happily,3
trying,see,could,3
throughout,school,years,3
good,bye,friends,3
telling,potions,professor,3
unable,look,professor,3
professor,slughorn,tonight,3
mcgonagall,gave,piercing,3
stood,opened,door,3
teacher,entire,school,3
professor,slughorn,week,3
office,later,evening,3
hermione,ever,heard,3
dumbledore,led,hermione,3
professor,mean,albus,3
two,different,people,3
potions,professor,calmly,3
soon,upon,us,3
pr,professor,flitwick,3
head,around,look,3
professor,think,got,3
mcgonagall,office,went,3
real,mad,eye,3
name,call,professor,3
luna,looked,mildly,3
looked,mildly,surprised,3
told,us,umbridge,3
us,umbridge,straightened,3
umbridge,straightened,looking,3
one,else,knows,3
supposed,tell,professor,3
meanwhile,dumbledore,continued,3
wait,professor,hermione,3
however,transfiguration,professor,3
thing,professor,slughorn,3
professor,snape,hex,3
could,probably,ask,3
probably,ask,professor,3
carrow,professor,carrow,3
taken,headmaster,office,3
professor,dumbledore,mum,3
life,living,hell,3
pale,young,man,3
young,man,made,3
well,need,get,3
gave,two,weeks,3
professor,sprout,declared,3
student,hogwarts,professor,3
side,whole,time,3
well,must,know,3
professor,potter,come,3
one,two,new,3
professor,mcgonagall,filling,3
quick,talk,professor,3
might,able,borrow,3
think,way,professor,3
professor,mcgonagall,board,3
invited,slug,club,3
show,professor,slughorn,3
looked,expectantly,harry,3
leading,great,hall,3
professor,flitwick,scolded,3
well,professor,tonks,3
headmasters,headmistresses,hogwarts,3
whole,weasley,clan,3
would,please,explain,3
enter,came,professor,3
potions,master,asked,3
damage,professor,snape,3
professor,said,took,3
best,subject,professor,3
professor,said,casually,3
wing,right,away,3
told,harry,potter,3
breath,know,holding,3
entering,common,room,3
dropped,one,knee,3
professor,two,aurors,3
professor,stood,behind,3
harry,roll,eyes,3
looked,around,sadly,3
like,normal,person,3
drawer,desk,pulled,3
slowly,turned,face,3
good,authority,professor,3
snape,lord,voldemort,3
knowing,could,get,3
muggle,studies,lessons,3
professor,called,turned,3
though,severus,snape,3
watched,professor,flitwick,3
professor,flitwick,demonstrated,3
stop,running,reached,3
going,write,letter,3
severus,snape,returned,3
professor,headmaster,albus,3
parents,talking,professor,3
look,like,would,3
like,would,able,3
would,ever,want,3
hated,professor,LRB,3
fifth,year,harry,3
back,snape,office,3
never,got,finish,3
finally,coming,rest,3
man,dark,eyes,3
amended,professor,snape,3
experience,dark,arts,3
one,dark,lord,3
awarded,house,points,3
mr,potter,first,3
professor,snape,gain,3
us,good,idea,3
madam,bones,would,3
via,floo,powder,3
one,remedial,potions,3
remedial,potions,lessons,3
mr,potter,fact,3
dumbledore,wanted,try,3
professor,robin,fleming,3
professor,snape,court,3
mr,potter,mind,3
dumbledore,left,room,3
professor,snape,faced,3
boggart,third,year,3
professor,lupin,scared,3
first,years,seemed,3
told,stay,behind,3
say,certain,professor,3
spy,lord,voldemort,3
intrusion,professor,snape,3
would,let,harry,3
noticed,many,teachers,3
professor,dumbledore,percy,3
professor,dumbledore,aurors,3
harry,show,professor,3
professor,dumbledore,prompted,3
said,quietly,harry,3
thought,illusions,professor,3
earn,detention,professor,3
dumbledore,thinks,voldemort,3
shot,towards,professor,3
professor,standing,feet,3
professor,mcgonagall,nowhere,3
taken,e,w,3
last,quidditch,game,3
attack,diagon,alley,3
um,professor,harry,3
professor,mcgonagall,expel,3
mcgonagall,gave,slight,3
arm,professor,dumbledore,3
make,sure,made,3
said,end,lesson,3
class,five,minutes,3
dumbledore,said,politely,3
harry,bloody,potter,3
answering,professor,mcgonagall,3
middle,defense,dark,3
use,professor,umbridge,3
professor,mcgonagall,tabby,3
snape,double,potions,3
try,give,neville,3
day,hermione,granger,3
granger,said,look,3
announce,professor,lupin,3
lust,potion,professor,3
saw,looking,professor,3
amortentia,professor,snape,3
professor,snape,intelligence,3
snape,personal,post,3
personal,post,box,3
138,tell,first,3
137,bad,idea,3
79,tell,professor,3
38,professor,flitwick,3
glance,turning,attention,3
professor,quidditch,practice,3
almost,killed,harry,3
professor,snape,reasons,3
first,five,minutes,3
want,take,chance,3
voiced,professor,mcgonagall,3
came,defense,dark,3
professor,hogwarts,albus,3
hogwarts,albus,dumbledore,3
current,former,students,3
teacher,deputy,headmistress,3
screaming,troll,dungeon,3
independent,study,project,3
hermione,said,smile,3
around,class,room,3
began,taking,notes,3
broken,however,professor,3
snape,sneered,looking,3
stern,looking,older,3
portkey,professor,mcgonagall,3
weasley,fred,weasley,3
seventy,five,points,3
greeted,former,professor,3
seat,across,desk,3
former,head,slytherin,3
sat,seat,next,3
professor,snape,heavy,3
questioning,look,professor,3
sorry,professor,use,3
ancient,runes,classroom,3
hoped,would,lose,3
snape,stepped,room,3
professor,nodded,yes,3
alright,miss,granger,3
reached,third,floor,3
hidden,meaning,behind,3
take,harry,long,3
soon,professor,left,3
professor,mcgonagall,organized,3
mcgonagall,went,around,3
bet,professor,mcgonagall,3
passed,away,last,3
away,last,night,3
hated,professor,severus,3
severus,looked,professor,3
professor,faralyn,told,3
scolding,professor,snape,3
turned,back,walked,3
morning,professor,sorry,3
could,use,help,3
near,common,room,3
dumbledore,pet,phoenix,3
need,head,back,3
mcgonagall,lily,said,3
came,across,one,3
death,eater,last,3
severus,thought,would,3
professor,mcgonnagal,asked,3
sorry,professor,two,3
check,professor,dumbledore,3
little,dark,haired,3
would,sworn,professor,3
sworn,professor,snape,3
temporary,head,slytherin,3
mcgonagall,came,carrying,3
telling,first,years,3
wants,professor,snape,3
common,room,talk,3
dumbledore,rest,staff,3
anxiously,professor,mcgonagall,3
also,pleased,professor,3
promised,tell,professor,3
asked,softly,watching,3
flicker,across,face,3
taken,one,professor,3
everyone,arrived,great,3
hospital,wing,severus,3
mcgonagall,face,looked,3
professor,umbridge,understand,3
severus,snape,seen,3
professor,mcgonagall,corridors,3
dumbledore,frowned,looked,3
professor,dumbledore,settled,3
professor,weasley,madame,3
professor,mcgonagalls,office,3
minister,magic,rufus,3
professor,de,aged,3
must,return,professor,3
professor,trelawny,heard,3
dumbledore,agreed,would,3
professor,would,nice,3
oh,professor,almost,3
trusted,professor,lupin,3
professor,lupin,father,3
writing,professor,dumbledore,3
made,potion,correctly,3
student,body,seemed,3
informing,professor,snape,3
professor,flitwick,surprised,3
potions,classroom,saw,3
saw,draco,malfoy,3
harry,entered,room,3
flitwick,standing,top,3
dumbledore,want,see,3
harry,took,hold,3
ever,need,help,3
history,magic,could,3
professor,trelawney,stepped,3
let,us,give,3
professor,dumbledore,days,3
going,back,school,3
looked,two,boys,3
decided,would,good,3
flitwick,could,get,3
snape,face,saw,3
stepped,followed,professor,3
professor,snape,efficient,3
mr,granger,said,3
kept,sneaking,glances,3
answered,professor,lockhart,3
professor,lockhart,laughed,3
professor,sprout,since,3
much,time,would,3
turned,class,said,3
said,name,professor,3
ms,weasley,said,3
said,charming,smile,3
lupin,back,school,3
professor,especially,since,3
month,dies,slowly,3
dies,slowly,revolving,3
see,professor,even,3
sorry,professor,quite,3
would,love,help,3
say,percy,teacher,3
gon,na,need,3
thought,want,know,3
together,thin,line,3
professor,snape,tightened,3
draco,doubted,professor,3
doubted,professor,snape,3
next,instant,professor,3
voldemort,face,back,3
lockhart,defense,dark,3
shaking,professor,snape,3
professor,would,simply,3
story,professor,lupin,3
professor,lupin,patronus,3
lupin,said,would,3
things,harry,said,3
professor,lupin,admitted,3
said,bored,voice,3
snape,spent,time,3
harry,trying,hardest,3
snape,told,little,3
briskly,towards,professor,3
began,make,way,3
back,towards,school,3
harry,smile,faltered,3
easily,get,away,3
draco,held,hand,3
eyes,rolling,back,3
hated,harry,potter,3
professor,let,slip,3
got,point,professor,3
professor,snape,stairs,3
snape,always,taught,3
talking,headmaster,dumbledore,3
stood,way,professor,3
professor,could,cast,3
snape,walking,away,3
view,professor,snape,3
snape,marked,death,3
professor,snape,forest,3
longer,professor,student,3
snape,said,since,3
draco,knew,professor,3
lifted,head,saw,3
harder,professor,snape,3
sister,professor,mcgonagall,3
mcgonagall,telling,us,3
wish,merry,christmas,3
gave,long,look,3
draco,talked,professor,3
like,professor,remembered,3
snape,last,words,3
said,professor,funke,3
go,back,work,3
professor,tears,eyes,3
professor,made,move,3
took,hold,hand,3
professor,mcgonagall,extended,3
really,matter,professor,3
asked,professor,grubbly,3
able,answer,professor,3
albus,dumbledore,would,3
gone,professor,slughorn,3
school,year,came,3
died,last,night,3
professor,slughorn,muttered,3
year,one,professor,3
asked,professor,merrythought,3
attack,hogwarts,professor,3
professor,may,need,3
professor,smiled,shook,3
sitting,table,professor,3
dumbledore,way,could,3
friends,ron,hermione,3
see,wand,professor,3
asked,eyes,narrowing,3
harry,gazed,professor,3
trusted,professor,dumbledore,3
memories,potions,professor,3
opened,door,looked,3
door,looked,back,3
potions,professor,slowly,3
rose,spun,around,3
dean,professor,mcgonagall,3
professor,mcgonagall,writes,3
tried,push,back,3
transfiguration,professor,walk,3
table,transfiguration,professor,3
transfiguration,professor,set,3
hat,top,stool,3
year,professor,hagrid,3
certainly,least,professor,3
times,professor,umbridge,3
well,going,go,3
future,professor,potter,3
though,defense,dark,3
professor,binns,disappeared,3
least,tell,us,3
four,months,professor,3
charms,professor,turned,3
professor,umbridge,never,3
professor,may,use,3
professor,vector,turned,3
professor,vector,wants,3
case,professor,would,3
make,sure,understand,3
enough,away,professor,3
away,professor,vector,3
gave,quick,grin,3
professor,poked,head,3
hermione,like,new,3
preparing,first,year,3
working,professor,flitwick,3
lupin,came,running,3
professor,dumbledore,perfect,3
professor,says,almost,3
professor,snape,replies,3
alright,professor,potter,3
mcgonagall,still,head,3
professor,took,us,3
charms,ancient,runes,3
make,sure,gets,3
dumbledore,old,fool,3
leaky,cauldron,last,3
good,night,remus,3
already,professor,snape,3
good,defense,dark,3
snape,told,could,3
wo,tell,us,3
prefer,stay,professor,3
look,like,man,3
professor,mean,hurt,3
would,like,work,3
mathias,prophecy,book,3
prophecy,book,iii,3
next,time,want,3
snape,harry,looked,3
back,school,yet,3
flitwick,stood,chair,3
dumbledore,invited,come,3
mcgonagall,always,liked,3
back,headmaster,professor,3
reached,entrance,professor,3
harry,smiled,looked,3
make,sure,two,3
soon,gone,professor,3
dumbledore,eyes,flashed,3
get,professor,black,3
hiding,professor,dumbledore,3
professor,snape,raced,3
mother,came,professor,3
floor,heard,professor,3
harry,made,promise,3
professor,flitwick,removed,3
woman,professor,umbridge,3
one,snape,professor,3
best,friends,would,3
students,common,rooms,3
assisted,professor,sprout,3
aid,professor,flitwick,3
death,professor,flitwick,3
professor,snape,anger,3
mcgonagall,talked,hermione,3
might,good,company,3
good,company,professor,3
lupin,presence,compartment,3
presence,compartment,uses,3
lupin,gave,snort,3
ron,hissed,hermione,3
hissed,hermione,pointing,3
hermione,pointing,professor,3
professor,lupin,careful,3
lupin,still,fast,3
said,ron,leaning,3
ron,leaning,forward,3
went,sort,rigid,3
sort,rigid,fell,3
started,twitching,professor,3
twitching,professor,lupin,3
wand,said,hermione,3
said,hermione,said,3
hermione,said,none,3
said,none,us,3
none,us,hiding,3
us,hiding,sirius,3
hiding,sirius,black,3
sirius,black,cloaks,3
mcgonagall,ushered,harry,3
hermione,away,chattering,3
chattering,crowd,accompanied,3
crowd,accompanied,across,3
accompanied,across,entrance,3
welcoming,fire,professor,3
white,hair,carrying,3
carrying,ancient,hat,3
ancient,hat,three,3
strode,toward,empty,3
toward,empty,seat,3
empty,seat,staff,3
hermione,set,direction,3
overcome,emotion,buried,3
emotion,buried,face,3
descended,professor,trelawney,3
professor,trelawney,ladder,3
trelawney,ladder,winding,3
ladder,winding,stair,3
winding,stair,silence,3
stair,silence,set,3
silence,set,professor,3
drawled,malfoy,weasley,3
malfoy,weasley,mutilating,3
neville,regularly,went,3
arrived,first,defence,3
worried,looking,professor,3
malfoy,gang,slytherins,3
gang,slytherins,anything,3
slytherins,anything,bad,3
state,robes,malfoy,3
robes,malfoy,would,3
one,else,cared,3
else,cared,professor,3
cared,professor,lupin,3
lupin,robes,patched,3
robes,patched,frayed,3
professor,sprout,beans,3
sprout,beans,burst,3
perhaps,lucky,hermione,3
lucky,hermione,ron,3
hermione,ron,looking,3
ron,looking,daggers,3
looking,daggers,got,3
daggers,got,class,3
harry,talk,whole,3
talk,whole,class,3
sent,directly,longbottom,3
directly,longbottom,said,3
dean,thomas,good,3
thomas,good,quill,3
good,quill,offered,3
quill,offered,forge,3
offered,forge,uncle,3
forge,uncle,vernon,3
uncle,vernon,signature,3
mcgonagall,signed,good,3
lupin,know,dementors,3
concocted,potion,said,3
many,wizards,making,3
ron,hermione,moved,3
somber,expression,face,3
mcgonagall,seemed,taken,3
